movie_id,primary_title,original_title,start_year,runtime_minutes,genres,clean_title,averagerating,numvotes,domestic_gross,foreign_gross,production_budget,worldwide_gross,release_date,release_year,release_month
tt1854552,Make Up,Ming yun hua zhuang shi,2011,107.0,"Drama,Fantasy",make up,4.2,224,,,,,,,
tt1854564,Percy Jackson: Sea of Monsters,Percy Jackson: Sea of Monsters,2013,106.0,"Adventure,Family,Fantasy",percy jackson: sea of monsters,5.8,102313,68600000.0,131300000.0,90000000.0,200859554.0,2013-08-07,2013.0,8.0
tt1854568,Our Paradise,Notre paradis,2011,96.0,"Crime,Drama,Romance",our paradise,5.7,1203,,,,,,,
tt1854569,Fairy Tale Killer,Zui xiong,2012,90.0,"Crime,Mystery,Thriller",fairy tale killer,4.8,266,,,,,,,
tt1854580,That Burning Feeling,That Burning Feeling,2013,95.0,"Comedy,Drama,Romance",that burning feeling,5.7,282,,,,,,,
tt1854582,No Vacancy,The Helpers,2012,81.0,Horror,no vacancy,4.3,1762,,,,,,,
tt1854589,"Turtle Hill, Brooklyn","Turtle Hill, Brooklyn",2013,95.0,"Comedy,Drama","turtle hill, brooklyn",5.5,151,,,,,,,
tt1854592,Warren Ellis: Captured Ghosts,Warren Ellis: Captured Ghosts,2011,79.0,Documentary,warren ellis: captured ghosts,7.2,80,,,,,,,
tt1855110,180,180,2011,121.0,"Drama,Romance",180,6.0,688,,,,,,,
tt1855152,Charge,Charge,2011,90.0,"Documentary,Sport",charge,7.0,114,,,,,,,
tt1855153,Cats on a Pedal Boat,Chatulim Al Sirat Pedalim,2011,87.0,"Comedy,Fantasy,Horror",cats on a pedal boat,5.7,73,,,,,,,
tt1855199,End of Watch,End of Watch,2012,109.0,"Action,Crime,Drama",end of watch,7.6,211308,41000000.0,7100000.0,15000000.0,57586606.0,2012-09-21,2012.0,9.0
tt1855226,Hollywood to Dollywood,Hollywood to Dollywood,2011,81.0,"Biography,Comedy,Documentary",hollywood to dollywood,6.7,77,,,,,,,
tt1855232,Invasion of Alien Bikini,Eillieon bikini,2011,75.0,"Comedy,Romance,Sci-Fi",invasion of alien bikini,4.6,250,,,,,,,
tt1855236,Just Like a Woman,Just Like a Woman,2012,87.0,Drama,just like a woman,5.5,2447,11400.0,,,,,,
tt1855268,Main Krishna Hoon,Main Krishna Hoon,2013,134.0,"Animation,Family,Musical",main krishna hoon,5.9,159,,,,,,,
tt1855282,Mourning,Soog,2011,85.0,Drama,mourning,7.2,266,,,,,,,
tt1855315,Precious Knowledge,Precious Knowledge,2011,75.0,"Documentary,Drama,Family",precious knowledge,8.2,61,,,,,,,
tt1855324,Report 51,Report 51,2013,100.0,"Sci-Fi,Thriller",report 51,3.5,267,,,,,,,
tt1855325,Resident Evil: Retribution,Resident Evil: Retribution,2012,95.0,"Action,Horror,Sci-Fi",resident evil: retribution,5.4,125191,42300000.0,197700000.0,65000000.0,240647629.0,2012-09-14,2012.0,9.0
tt1855389,The Metro,The Metro,2011,150.0,"Action,Thriller",the metro,4.5,58,,,,,,,
